Timestamp,Emotion,Confidence
2025-07-14T23:23:32.130142,Neutral,41.0
2025-07-14T23:23:32.311119,Neutral,32.9
2025-07-14T23:23:32.515184,Neutral,62.7
2025-07-14T23:23:32.703524,Neutral,64.0
2025-07-14T23:23:32.887307,Neutral,62.6
2025-07-14T23:23:33.075319,Neutral,59.3
2025-07-14T23:23:33.273120,Neutral,65.2
2025-07-14T23:23:33.459873,Neutral,63.8
2025-07-14T23:23:33.648864,Neutral,39.4
2025-07-14T23:23:33.834329,Neutral,75.5
2025-07-14T23:23:34.022034,Neutral,48.2
2025-07-14T23:23:34.212015,Neutral,58.0
2025-07-14T23:23:34.394944,Neutral,67.1
2025-07-14T23:23:34.583110,Neutral,47.0
2025-07-14T23:23:34.769528,Neutral,71.2
2025-07-14T23:23:34.963591,Neutral,59.7
2025-07-14T23:23:35.147531,Neutral,54.9
2025-07-14T23:23:35.333326,Neutral,31.7
2025-07-14T23:23:35.520261,Happy,99.9
2025-07-14T23:23:35.724829,Happy,99.6
2025-07-14T23:23:35.921661,Happy,99.4
2025-07-14T23:23:36.105249,Happy,98.8
2025-07-14T23:23:36.295160,Happy,99.2
2025-07-14T23:23:36.473046,Neutral,32.5
2025-07-14T23:23:36.648820,Sad,36.1
2025-07-14T23:23:36.825149,Fear,29.7
2025-07-14T23:23:37.015525,Fear,34.8
2025-07-14T23:23:37.191330,Fear,38.4
2025-07-14T23:23:37.372566,Fear,41.6
2025-07-14T23:23:37.570333,Fear,46.5
2025-07-14T23:23:37.749894,Fear,32.8
2025-07-14T23:23:37.936064,Neutral,35.8
2025-07-14T23:23:38.120997,Neutral,31.2
2025-07-14T23:23:38.310984,Neutral,39.1
2025-07-14T23:23:38.500337,Neutral,40.0
2025-07-14T23:23:38.697192,Neutral,37.8
2025-07-14T23:23:38.867010,Neutral,36.2
2025-07-14T23:23:39.048130,Fear,32.2
2025-07-14T23:23:39.240936,Neutral,39.7
2025-07-14T23:23:39.425919,Fear,37.0
2025-07-14T23:23:39.610054,Neutral,34.5
2025-07-14T23:23:39.788288,Fear,39.2
2025-07-14T23:23:39.977081,Neutral,29.8
2025-07-14T23:23:40.158800,Neutral,34.6
2025-07-14T23:23:40.338048,Neutral,30.8
2025-07-14T23:23:40.517404,Neutral,28.5
2025-07-14T23:23:40.709889,Neutral,36.0
2025-07-14T23:23:40.905050,Fear,43.1
2025-07-14T23:23:41.096144,Neutral,35.3
2025-07-14T23:23:41.267550,Fear,38.0
2025-07-14T23:23:41.449636,Fear,42.0
2025-07-14T23:23:41.635601,Fear,38.4
2025-07-14T23:23:41.823563,Fear,42.1
2025-07-14T23:23:42.010281,Neutral,30.9
2025-07-14T23:23:42.190159,Neutral,30.2
2025-07-14T23:23:42.380182,Neutral,42.9
2025-07-14T23:23:42.561550,Neutral,55.9
2025-07-14T23:23:42.752787,Neutral,60.3
2025-07-14T23:23:42.938584,Neutral,58.0
2025-07-14T23:23:43.122630,Neutral,59.7
2025-07-14T23:23:43.314220,Neutral,32.9
2025-07-14T23:23:43.505946,Neutral,44.1
2025-07-14T23:23:43.683647,Neutral,66.8
2025-07-14T23:23:43.855811,Neutral,57.4
2025-07-14T23:23:44.035434,Neutral,63.7
2025-07-14T23:23:44.219401,Fear,36.0
2025-07-14T23:23:44.404104,Fear,31.9
2025-07-14T23:23:44.602568,Fear,47.7
2025-07-14T23:23:44.785358,Fear,51.9
2025-07-14T23:23:44.959672,Fear,39.2
2025-07-14T23:23:45.134656,Fear,45.3
2025-07-14T23:23:45.311355,Fear,41.5
2025-07-14T23:23:45.500645,Fear,50.0
2025-07-14T23:23:45.692364,Fear,52.6
2025-07-14T23:23:45.877438,Fear,29.4
2025-07-14T23:23:46.048553,Fear,34.6
2025-07-14T23:23:46.240018,Fear,33.1
2025-07-14T23:23:46.428861,Fear,31.4
2025-07-14T23:23:46.613988,Fear,37.4
2025-07-14T23:23:46.802066,Fear,36.4
2025-07-14T23:23:46.994716,Fear,35.7
2025-07-14T23:23:47.189858,Sad,36.6
2025-07-14T23:23:47.374601,Sad,26.1
2025-07-14T23:23:47.548526,Neutral,29.1
2025-07-14T23:23:47.725025,Fear,31.7
2025-07-14T23:23:47.910001,Sad,30.7
2025-07-14T23:23:48.097221,Neutral,26.5
2025-07-14T23:23:48.276196,Neutral,25.9
2025-07-14T23:23:48.464705,Angry,27.1
2025-07-14T23:23:48.657811,Angry,34.7
2025-07-14T23:23:48.841479,Angry,29.3
2025-07-14T23:23:49.033075,Angry,26.8
2025-07-14T23:23:49.216753,Fear,27.8
2025-07-14T23:23:49.384896,Fear,37.2
2025-07-14T23:23:49.571510,Sad,29.0
2025-07-14T23:23:49.758428,Angry,31.0
2025-07-14T23:23:49.939762,Sad,41.7
2025-07-14T23:23:50.116794,Fear,31.8
2025-07-14T23:23:50.299789,Angry,34.0
2025-07-14T23:23:50.480291,Angry,28.7
2025-07-14T23:23:50.671968,Fear,31.4
2025-07-14T23:23:50.839843,Fear,43.1
2025-07-14T23:23:51.023435,Fear,38.7
2025-07-14T23:23:51.207662,Fear,36.1
2025-07-14T23:23:51.388770,Fear,44.7
2025-07-14T23:23:51.566689,Fear,32.5
2025-07-14T23:23:51.748140,Fear,36.4
2025-07-14T23:23:51.943398,Fear,35.0
2025-07-14T23:23:52.119778,Sad,35.2
2025-07-14T23:23:52.311311,Sad,28.6
2025-07-14T23:23:52.499089,Sad,27.4
2025-07-14T23:23:52.687512,Fear,29.6
2025-07-14T23:23:52.874063,Sad,25.0
2025-07-14T23:23:53.061839,Neutral,38.3
2025-07-14T23:23:53.247756,Fear,26.8
2025-07-14T23:23:53.424837,Fear,28.2
2025-07-14T23:23:53.605700,Fear,31.0
2025-07-14T23:23:53.787261,Fear,37.0
2025-07-14T23:23:53.965852,Angry,26.9
2025-07-14T23:23:54.144262,Fear,27.8
2025-07-14T23:23:54.348493,Fear,35.3
2025-07-14T23:23:54.520363,Angry,27.5
2025-07-14T23:23:54.701812,Fear,36.5
2025-07-14T23:23:54.889297,Neutral,34.6
2025-07-14T23:23:55.072525,Neutral,34.1
2025-07-14T23:23:55.259548,Fear,55.2
2025-07-14T23:23:55.451355,Fear,33.3
2025-07-14T23:23:55.628449,Fear,48.7
2025-07-14T23:23:55.800759,Fear,33.9
2025-07-14T23:23:55.975945,Fear,31.0
2025-07-14T23:23:56.149829,Fear,36.3
2025-07-14T23:23:56.335600,Fear,37.3
2025-07-14T23:23:56.526652,Fear,36.5
2025-07-14T23:23:56.709480,Fear,45.3
2025-07-14T23:23:56.881340,Fear,44.3
2025-07-14T23:23:57.055219,Fear,47.9
2025-07-14T23:23:57.234874,Fear,34.1
2025-07-14T23:23:57.424257,Fear,52.5
2025-07-14T23:23:57.608175,Fear,39.3
2025-07-14T23:23:57.790032,Fear,43.7
2025-07-14T23:23:57.973503,Fear,31.2
2025-07-14T23:23:58.149710,Neutral,35.6
2025-07-14T23:23:58.327498,Fear,44.1
2025-07-14T23:23:58.511054,Fear,54.8
